,News,Sentiment
27,Varun Beverages March 2022 (Quarterly) PAT at Rs 254 crore vs Rs 129 crore YoY. Revenue at Rs 2867 crore vs Rs 2270 crore YoY,Positive
28,"Varun Beverages has incorporated a New Company i.e. 'Varun Beverages RDC SAS' in the Democratic Republic of Congo to carry on the business of manufacturing, selling, trading and distribution of carbonated and non-carbonated beverages",Neutral
29,Varun Beverages to acquire 20% stake in Lunarmech Technologies,Neutral
30,Varun Beverages sets issue price for QIP at Rs 612/share,Neutral
31,Varun Beverages has raised Rs 900 crore via QIP,Neutral
32,Varun Beverages gets CCI nod to acquire franchise rights of the foods and snacks major in southern and western India,Positive
33,"Varun Beverages commences trial production at its Greenfield facility in Punjab for Tropicana juices, dairy based products, carbonated beverages and Aquafina water",Neutral
34,"PepsiCo to divest its bottling franchisee rights in the West and South of the country to Varun Beverages for Rs 1,850 crore",Neutral
35,Varun Beverages to acquire PepsiCo's franchise rights in 3 states,Positive
36,Varun Beverages Ltd Jul-Sep Consol Net Profit Rs.44.15 Cr Vs Rs.33.71Cr Yoy. Total Income Rs.1205.04 Cr Vs Rs. 990.91 Cr Yoy,Positive
37,Varun Beverages Jan-Mar consol Net Profit rupees 18.63cr vs 4.51cr. Revenue rupees 1120 cr vs 1050cr,Positive
38,Varun Beverages to establish a Greenfield Productionfacility in Punjab for Tropicana Juices,Neutral
39,HINDUSTAN AERONAUTICS LIMITED Sep 2023 (quarterly) Net Profit 1237 crore Vs 1221 crore yoy. Revenue 5636 crore Vs 5145 crore yoy,Neutral
40,Hindustan Aeronautics and Airbus have signed a contract for establishing MRO facilities for A-320 family of aircraft,Positive
41,HAL and Safran Aircraft Engines signed a Memorandum of Understanding (MoU) to develop industrial cooperation in Ring forging manufacturing for commercial anginas,Positive
42,Hindustan Aeronautics ltd handed over the first LCA Tejas twin seater to the Indian Air Force,Positive
43,Hindustan Aeronautics: The Defence Acquisition Council (DAC) has accorded approval for Acceptance of Necessity (AON) for procurement of 12 Su-30MKI Aircraft with associated equipment and avionics upgradation of Dornier Aircraft,Positive
44,"Hindustan Aeronautics Limited - Company is in receipt of notices from NSE and BSE for imposing the penalty of 5,36,900/- each for the quarter ended 30th June, 2023, due to insufficient number of Independent Directors",Negative
45,"Defence Acquisition Council approves proposals worth 7,800 crore to enhance operational capabilities of the Armed Forces",Positive
46,Hindustan Aeronautics Jun 2023 (quarterly) Net Profit 814 crore Vs 620 crore yoy. Revenue 3915 crore Vs 3622 crore yoy,Neutral
47,HAL and the Ministry of Defence of The Republic of Argentina have signed a Letter of Intent (LoI) on productive cooperation and acquisition of Light and Medium Utility Helicopters for the armed forces of the Argentine Republic,Positive
48,Hindustan Aeronautics Limited has signed an agreement with Safran Helicopter Engines SAS for setting up the joint venture,Positive
49,HAL: Ministry of Defence signed a contract with Hindus tan Aeronautics Ltd (HAL) for procurement of two Dornier Aircraft for Indian Coast Guard (ICG) along with associated Engineering Support package at an overall cost of Rs 458.87 crore,Positive
50,"Hindustan Aeronautics and GE Aerospace, USA have signed an Memorandum of Understanding (MOU) to produce GE-F414 fighter Jet engines in India for LCA Mk2 aircraft",Positive
51,Hindustan Aeronautics Mar 2023 (quarterly) Net Profit 2831 crore Vs 3105 crore yoy. Revenue 12495 crore Vs 11558 crore yoy,Negative
52,"Hindustan Aeronautics: ICRA has reaffirmed the Long Term-Fund Based/Cash Credit Facilities (Rs 4,000 crore) as ICRA AAA/Stable",Positive
53,Defence Secretary Giridhar inaugurated a third production line for the Tejas light combat aircraft in Bengaluru,Positive
54,"Hindustan Aeronautics registers highest-ever revenue from operations of around 26,500 Crores (provisional and unaudited) for the Financial Year 2022-23 as against 24,620 for the previous financial year",Positive
55,"Hindustan Aeronautics: Govt. to sell 58.51 lakh equity shares (1.75% stake) with an option to sell an additional 58.51 lakh equity shares (1.75% stake) via OFS. The floor price set at Rs 2,450/share",Negative
56,"Defence Ministry clears proposals to buy weapons worth 70,000 crore, Hindustan Aeronautics likely to bag almost 50% of orders",Positive
57,"Amara Raja Batteries June 2023 (Quarterly) Income at Rs 2,796 crore vs Rs 2,621 crore YoY. PAT at Rs 192 crore vs Rs 132 crore YoY",Neutral
58,"Amara Raja Batteries: The Board has approved the secondary acquisition of 100% of the equity share capital of Amara Raja Power Systems Ltd at a consideration of Rs 133 crores, from RNGalla Family Pvt Ltd",Positive
59,Amara Raja Batteries March 2023 (Quarterly) Income at Rs 2429 crore vs Rs 2181 crore YoY. PAT at Rs 138 crore vs Rs 99 crore YoY,Neutral
60,"Amara Raja organizes ground-breaking ceremony of one of India's largest, and Telangana's first Gigafactory. The manufacturing unit will have a capacity of up to 16 GWh and will cater to Indian and International markets",Positive
61,Budget - Custom Duty exemption being extended to Ev Batteries,Positive
62,Amara Raja December 2022 (Quarterly) PAT at Rs 223 crore vs Rs 145 crore YoY. Income at Rs 2638 crore vs Rs 2366 crore YoY,Positive
63,"Amara Raja Batteries has signed a MoU with the Government of Telangana to setup state-of-the-art research and manufacturing facilities for lithium-ion battery-making in Telangana. Over the next 10 years, the company intends to invest over Rs 9500 crore",Positive
64,Amara Raja Batteries and the Telangana government to sign a memorandum of understanding to set up a Lithium Ion giga unit in Hyderabad,Positive
65,Amara Raja Batteries September 2022 (Quarterly) PAT at Rs 201 crore vs Rs 144 crore YoY. Revenue at Rs 2700 crore vs Rs 2264 crore YoY,Positive
66,Amara Raja Batteries: The Board has approved the demerger of plastic component for battery business,Positive
67,Lithium prices soar to new record on surging demand to make batteries for EVs,Positive
68,Amara Raja Batteries will invest 770 million rupees in Log 9 Materials Scientific,Neutral
69,"Amara Raja Batteries June 2022 (Quarterly) PAT at Rs 132 crore vs Rs 124 crore YoY. Revenue at Rs 2,621 crore vs Rs 1,886 crore YoY",Neutral
70,Amara Raja Batteries March 2022 (Quarterly) PAT at Rs 99 crore vs Rs 189 crore YoY. Revenue at Rs 2181 crore vs Rs 2103 crore YoY,Negative
71,"Andhra Pradesh High Court has extended the interim suspension on the closure order issued to the company by the Andhra Pradesh Pollution Control Board, for Amara Raja Batteries units at Karakambadi, Tirupati and Nunegundlapalli.",Negative
72,Cipla has received a Warning Letter from USFDA for the routine current Good Manufacturing Practices (cGMP) inspection conducted at its Pithampur manufacturing facility,Negative
73,"Cipla has executed a Facility Demand Guarantee of ZAR 945 million in favour of First Rand Bank, South Africa for extending general banking facilities to Medpro Pharmaceutica (Pty) Ltd, step down wholly owned subsidiary of the Company in South Africa",Neutral
74,"Cipla (EU) Limited, UK and Meditab Holdings Limited, Mauritius, wholly owned subsidiaries of the Company have completed the sale of entire 51.18% stake held in Cipla Quality Chemical Industries Limited, Uganda for final consideration amount of $25 million",Neutral
75,Cipla Ltd has approved the transfer of its generics business to its wholly-owned subsidiary Cipla Pharma and Life Sciences Ltd for 3.5 billion,Neutral
76,Cipla Ltd Sep 2023 (quarterly) Net Profit 1155 crore Vs 797 crore yoy. Revenue 6678 crore Vs 5829 crore yoy,Positive
77,Cipla: US FDA issues no observations for InvaGen' manufacturing facility at New York,Positive
78,"Cipla has received the EIR (Establishment Inspection Report) from the USFDA for the manufacturing facility of InvaGen Pharmaceuticals Inc., wholly owned subsidiary of the Company, located in Central Islip, Long Island, New York, USA",Positive
79,"Cipla completed the divestment of its 51% stake in Saba Investment Ltd, UAE, to Shibham Group Holding Ltd for a consideration of $6 million",Neutral
80,"Cipla Ltd launched drone-powered deliveries of critical medicines--cardiac, respiratory and other essential chronic therapies--to hospitals and pharmacies across Himachal Pradesh in partnership with Skype Air Mobility",Neutral
81,"Cipla's: The manufacturing facility of InvaGen Pharmaceuticals Inc., wholly owned subsidiary of the Company, has received 5 inspectional observations in Form 483. There are no repeat or data integrityobservations",Negative
82,Torrent Pharmaceuticals likely is in advanced negotiations with CVC Capital Partners to form a consortium and raise at least $1.2-$1.5 billion to acquire Cipla Ltd.,Positive
83,Cipla has signed a binding term sheet with Actor Holdings (Pty) Ltd to acquire 100% of the issued ordinary shares of Actor Pharma (Pty) Ltd,Positive
84,Cipla has received an order regarding suspension of FDA license issued to Company's manufacturing unit located at Patalganga (Unit II) for a period of 10 days in December 2023 for non-conformance of good manufacturing practices,Negative
85,Cipla: US FDA inspection for Pithampur manufacturing facility has been classified as Official Action Indicated (“OAI”) as the establishment has not met regulatory requirements and may be subject to further regulatory action,Negative
86,Blackstone likely to submit a non-binding bid to acquire the entire 33.47% promoter stake in Cipla,Neutral
87,Cipla's associate GoApptiv Pvt Ltd has incorporated a wholly-owned subsidiary called Pactiv Healthcare Pvt Ltd,Positive
88,L&T Technology Services to partner with Google Cloud to develop state-of-the-art Dev X platform,Positive
89,L&T Technology Services announced that it is leveraging Amazon Web Services (AWS) to help global automotive manufacturers accelerate the transition towards Software Defined Vehicles (SDVs) using generative artificial intelligence (AI),Positive
90,"L&T Technology Services September 2023 (Quarterly) Income at Rs 2,387 crore vs Rs 2,282 crore YoY. PAT at Rs 316 crore vs Rs 301 crore YoY",Neutral
91,"L&T Technology Services Limited has secured a $50 million contract with a global technology company, to enable new opportunities for digital media platforms",Positive
92,"L&T Technology Services June 2023 (Quarterly) Income at Rs 2,301 crore vs Rs 2,006 crore YoY. PAT at Rs 312 crore vs Rs 276 crore YoY",Neutral
93,L&T Technology Services Limited announced it has partnered with Palo Alto Networks to provide enterprises in diverse verticals with security services and solutions in 5G and Operations Technology (OT) areas,Positive
94,L&T Technology Services likely has tied up with Bharat Sanchar Nigam to deploy private 5G networks for enterprises in India,Positive
95,"L&T Technology Services March 2023 (Quarterly) Income at Rs 2,096 crore vs Rs 1,756 crore YoY. PAT at Rs 311 crore vs Rs 263 crore YoY",Neutral
96,LTIMindtree and L&T Technology Services likely are consolidating their real estate portfolio across Chennai amid cost-cutting and hybrid work models implemented across sectors,Negative
97,L&T Technology Services pays $9.93 million to US Justice Department to settle visa allegations,Negative
98,"L&T Technology Services has completed the acquisition of substantial portion of Smart World & Communication Business of Larsen & Toubro Ltd on April 1, 2023",Neutral
99,L&T Technology Services Limited announced that it has been selected as a strategic engineering partner to Airbus for providing Advanced Engineering Capabilities and Digital Manufacturing Services under a multi-year contract,Positive
100,"L&T Technology Services has opened an engineering research and development centre in Toronto, the third nearshore global design centre launched over the last two quarters",Positive
101,LTI and LTTS are in talks to pre-lease around 1.4 million sq ft of office space in the Larsen & Toubro's upcoming commercial office in Chennai in the largest commercial space leasing transaction this year,Neutral
102,L&T Technology Services joins hands with Qualcomm to provide solutions for the Global 5G Private Network Industry,Positive
103,"L&T Technology Services Limited has won a 5-year, multi-million-dollar deal from European luxury vehicle maker BMW Group to provide high end engineering services for the company’s suite of infotainment consoles targeted for its family of hybrid vehicles",Positive
104,"Infosys announced a collaboration with Better Home & Finance Holding Company to launch Mortgage as a Service (MaaS), an integrated end-to-end digital mortgage white-labelled platform",Positive
105,"Infosys announced a strategic collaboration with Rich Products Corporation, a leading food products company and global supplier to the foodservice, retail in-store bakery, deli and prepared foods industries",Positive
106,"Infosys Ltd inaugurated a centre of excellence for aerospace engineering in Richardson, Texas, the US, in collaboration with aero-structure manufacturer Spirit AeroSystems to nurture local talent and meet aerospace and defence engineering needs",Positive
107,"Infosys McCamish Systems, a subsidiary of Infosys BPM Limited (a wholly owned subsidiary of Infosys Limited) has become aware of a cybersecurity event resulting in non-availability of certain applications and systems in IMS",Negative
108,"Infosys expands its footprint in Europe with a new proximity center in Sofia, Bulgaria to help accelerate AI and cloud-led digital journeys for clients in the region",Positive
109,"Infosys Topaz-powered artificial intelligence (AI) innovation with MSG Networks as part of its ongoing relationship, which MSG Networks’ can use to enhance coverage of the 2023-2024 Knicks and Rangers seasons across social platforms",Positive
110,Infosys: USD300 worth of penalties have been imposed on the company' US branch for non-remittance of past-due,Negative
111,Infosys announced that it is expanding its alliance with Google Cloud to help enterprises build AI-powered experiences leveraging Infosys Topaz offerings and Google Cloud’s generative AI solutions,Positive
112,Infosys inaugurates new Development Center in Visakhapatnam,Neutral
113,Infosys: FY24 revenue guidance revised to 1-2.5% and operating margin guidance retained at 20-22%,Negative
114,Infosys has been positioned as a Leader in The 2023 Gartner Magic Quadrant for Public Cloud IT Transformation Services,Positive
115,Infosys announced the launch of Infosys Cobalt Airline Cloud (ICAC) a first-of-its-kind industry cloud offering designed for commercial airlines to help them accelerate their digital transformation journey,Positive
116,"Infosys collaborates with Microsoft to jointly develop industry leading solutions that leverage Infosys Topaz, Azure OpenAI Service and Azure Cognitive Services",Positive
117,"Infosys and Nigeria's Guaranty Trust Bank (GTBank), the banking subsidiary of Guaranty Trust Holding Company Plc, has announced that Guaranty Trust Bank has selected the Finacle Digital Banking Suite for its multi-country digital transformation program",Positive
118,"Infosys and NVIDIA announced that they have expanded their strategic collaboration with the aim to help enterprises worldwide, drive productivity gains with generative AI applications and solutions",Positive
119,"Infosys has entered into a MoU with a global company to provide enhanced digital experiences, along with modernization and business operations services. The total client target spend over 15 years is estimated at USD 1.5 billion",Neutral
120,"Infosys collaborates with STARK Group to power its digital transformation journey leveraging the recently launched Infosys Topaz, an AI-first set of services, solutions and platforms using generative AI technologies",Positive
121,IDFC FIRST Bank has received Observation Letters with ‘no objection’ from the NSE and ‘no adverse observations’ from BSE Ltd in relation to the proposed amalgamation of IDFC Ltd and IDFC Financial Holding Company Ltd into and with IDFC FIRST Bank,Positive
122,IDFC First Bank September 2023 (Quarterly) PAT at Rs 747 crore vs Rs 567 crore YoY. GNPA at 2.11% vs 2.17% QoQ; Net NPA at 0.68% vs 0.7% QoQ,Positive
123,"IDFC First Bank: CRISIL has assigned its rating ‘CRISIL AA+/Stable’ to the Tier-II bonds (under Basel III) of the Bank amounting to Rs 3,000 crores",Positive
124,"IDFC First Bank Limited - CARE Ratings Limited has upgraded the existing rating of the Bank’s long-term debt instruments amounting to ₹ 1,874.68 crore from ‘CARE AA / Stable’ to ‘CARE AA+ / Stable’",Positive
125,IDFC First Bank likely to launch a qualified institutional placement of its stock,Positive
126,IDFC First Bank likely has acquired the title sponsorship rights for all BCCI international and domestic home matches,Positive
127,IDFC First Bank: Mr. Ajay Sondhi has tendered his resignation as Non-Executive Non-Independent Director of the Bank,Neutral
128,"IDFC First Bank: The Board has approved the appointment of Mr. Neerav Maniar as the Chief Compliance Officer of the Bank, forming part of the Senior Management of the Bank",Neutral
129,IDFC First Bank June 2023 (Quarterly) PAT at Rs 732 crore vs Rs 485 crore YoY. GNPA at 2.17% vs 2.51% QoQ; Net NPA at 0.7% vs 0.86% QoQ,Positive
130,"IDFC FIRST Bank Limited : CRISIL Ratings Limited has reaffirmed the existing rating ‘CRISIL AA+ / Stable’ in respect of the Tier II Bonds of the Bank amounting to ₹ 5,000 crore",Positive
131,The Board of Directors of IDFC Limited and IDFC Financial Holding Company Limited approved merger with IDFC FIRST Bank Limited and a share exchange ratio of 155 shares of IDFC FIRST Bank for every 100 shares held in IDFC,Positive
132,"IDFC First Bank has raised Rs 1,500 crore through Basel III Compliant Tier 2 Bonds",Positive
133,"IDFC First Bank: CRISIL has upgraded its rating for Tier II Bonds (under Basel III) of IDFC FIRST Bank Ltd amounting to Rs 5,000 crore from ‘CRISIL AA / Positive’ to ‘CRISIL AA+ / Stable’",Positive
134,The National Company Law Appellate Tribunal closed insolvency proceedings against Marvel Realtors and Developers in view of a settlement with IDFC First Bank,Positive
135,IDFC First Bank March 2023 (Quarterly) PAT at Rs 816 crore vs Rs 352 crore YoY. GNPA at 2.51% vs 2.96% QoQ; Net NPA at 0.86% vs 1.03% QoQ,Positive
136,"IDFC First Bank: The Board has approved the allotment of 37.75 cr equity shares at a price of Rs 58.18/share to IDFC Financial Holding Company Ltd (IDFC FHCL), wholly-owned subsidiary of IDFC Ltd, Promoter, on -1/2",Positive
137,"IDFC First Bank: preferential basis by way of private placement. Consequently, IDFC FHCL’s holding in the Bank will go up to approx. 39.99 % -2/2",Neutral
138,The Reserve Bank of India said the Unified Payments Interface has been enabled from Tuesday for all inbound travellers from G-20 countries to make local payments while visiting India,Positive
139,"HDFC Bank September 2023 (Quarterly) PAT at Rs 17,312 crore vs Rs 11,163 crore YoY. GNPA at 1.34% vs 1.17% QoQ; Net NPA at 0.35% vs 0.3% QoQ",Positive
140,Eris Lifesciences has entered into Term Loan Agreement dated 27 September 2023 to avail the Rupee Term Loan facility amounting to Rs 212 crore from HDFC Bank Limited,Neutral
141,"HDFC Bank Ltd plans to launch a revamped mobile application and an internet banking website by March, over five years after an upgraded app faced glitches and had to be rolled back in a week",Neutral
142,HDFC Bank sells an aggregate stake of 2.22% of the share capital in Hindustan Oil Exploration Corp Ltd. for an all cash consideration of ₹49.85 crore,Neutral
143,"HDFC Bank: RBI has approved the re-appointment of Mr. Sashidhar Jagdishan as the Managing Director and Chief Executive Officer of the Bank for a period of 3 years w.e.f. October 27, 2023 to October 26, 2026",Positive
144,"HDFC Bank likely is gearing up for the festival season, eyeing an over 20% year-on-year growth in home loan disbursals",Positive
145,"HDFC Bank: The Board has approved the re-appointment of Mr. Sanmoy Chakrabarti as the Chief Risk Officer (CRO) of the Bank, for a further period of 5 years, with effect from December 14, 2023 to December 13, 2028",Neutral
146,HDFC Bank expects its credit card portfolio to grow at a stable pace of 25-30% in the current financial year,Positive
147,"HDFC Bank - Competition Commission of India has approved the proposed acquisition of 90% stake in subsidiary HDFC Credila Financial Services by Kopvoorn B.V., Moss Investments Ltd, Infinity Partners, and Defati Investments Holding B.V",Positive
148,HDFC Bank Jun 2023 (quarterly) Net Profit ₹12370 crore Vs ₹9579 crore yoy. Gross NPA at 1.17% Vs 1.12% qoq; Net NPA at 0.30% Vs 0.27% qo,Positive
149,Reserve Bank of India likely has given HDFC Bank six months to migrate Housing Development Finance Corporation's home loan customers to external benchmark-linked lending rate,Negative
150,HDFC Bank will sell 2% stake in the initial public offering of National Securities Depository. The Bank holds 8.95% stake in NSDL,Neutral
151,HDFC Bank to replace HDFC Ltd on the MSCI Global Standard indices w.e.f. 13th July 2023,Neutral
152,HDFC: The management of the company said that HDFC Limited and HDFC Bank are working towards completing all the necessary formalities for completion of the Proposed Amalgamation,Positive
153,"HDFC Ltd and HDFC Bank and HDFC Credila Financial Services Ltd (Credila) have entered into definitive agreements to sell a majority stake (90%) in Credila to an investor consortium of BPEA EQT and ChrysCapital for Rs 9,060 crore",Neutral
154,"RBI has allowed HDFC Bank to hold the commercial papers that were issued till date by HDFC, till their maturity",Neutral
155,"Small Industries Development Bank of India has signed a pact with HDFC Bank Ltd for providing financial solutions to micro, small and medium enterprises",Positive
156,The RBI gave its approval to SBI Funds Management for acquiring 9.99% stake in the HDFC Bank,Positive
157,The SEBI has given an approval to transfer control of HDFC Capital Advisors to HDFC Bank,Positive
158,"Suzlon's S144, 3 MW - 3.15 MW wind turbine series gets the Revised List of Models & Manufacturers listing from Ministry of New and Renewable Energy",Positive
159,Suzlon Energy secures an order of 29.4 MW from BrightNight,Positive
160,"Suzlon Energy: The Board has approved conversion of 33,14,044 partly paid-up equity shares in to fully paid-up equity shares on receipt of First and Final Call aggregating to Rs 82,85,110",Neutral
161,Suzlon Energy secures new order of 31.5 MW from Integrum Energy Infrastructure Private Limited,Positive
162,"Suzlon Energy: The Board has approved conversion of 63,48,593 partly paid-up equity shares into fully paid-up equity shares on receipt of First and Final Call",Neutral
163,"Suzlon Energy launches QIP to raise up to Rs 2,000 crore; floor price set at Rs 18.44/share",Positive
164,"Suzlon Energy June 2023 (Quarterly) Income at Rs 1,351 crore vs Rs 1,381 crore YoY. PAT at Rs 101 crore vs Rs 2,433 crore YoY. Exceptional Income at Rs 8 crore vs Rs 2,469 crore YoY",Negative
165,Suzlon secures an order of 100.8 MW from Everrenew Energy Pvt Ltd,Positive
166,Suzlon becomes first Indian wind energy company to reach 20 GW of worldwide Wind Energy installations,Positive
167,Suzlon Energy March 2023 (Quarterly) Income at Rs 1694 crore vs Rs 2474 crore YoY. PAT at Rs 320 crore vs Loss of Rs 206 crore YoY. Exceptional gain at Rs 252 crore during the quarter,Positive
168,Suzlon secures a 39 MW order for their 3 MW product series from a Thermax Group Company,Positive
169,Suzlon bags an order for the development of a 50.4 MW wind power project for Sembcorp’s renewables subsidiary Green Infra Wind Energy Ltd. Suzlon will install 24 wind turbine -1/2,Positive
170,Suzlon Energy: generators (WTGs) with a Hybrid Lattice Tubular (HLT) tower and a rated capacity of 2.1 MW each -2/2,Neutral
171,Suzlon Energy: Mr. Ashwani Kumar has resigned as the Chief Executive Officer of the Company with effect from 5th April 2023 on account of personal reasons,Neutral
172,Suzlon Energy has completed transfer of its entire 51.05% shareholding in Vayudoot Solarfarms Limited to Aries Renewables Pvt Ltd,Neutral
173,"Suzlon Energy September 2022 (Quarterly) PAT at Rs 56 crore vs Loss of Rs 12 crore YoY. Revenue at Rs 1,438 crore vs Rs 1,356 crore YoY",Positive
174,Suzlon Energy secures order for the development of a 48.3 MW wind power project for Adani Green Energy,Positive
175,Suzlon bags a new order for the development of 144.9 MW wind power projects for the Aditya Birla Group,Positive
176,"Suzlon Energy: The Board has approved the appointment of Mr. Vinod R.Tanti as the Chairman & Managing Director of the Company with immediate effect, i.e. from 7th October 2022 for a period of 3 years",Neutral
177,"Wipro September 2023 (Quarterly) Income at Rs 22,516 crore vs Rs 22,540 crore YoY. PAT at Rs 2,667 crore vs Rs 2,649 crore YoY",Neutral
178,Wipro: Wipro Enterprises Industrial automation business Wipro Pari will acquire a majority stake in Italy-based Ferretto Automation and Services for an undisclosed amount,Positive
179,"Wipro has signed a definitive agreement to subscribe to equity share capital in FPEL Ujwal Private Ltd, engaged in the business of developing, building, and managing a portfolio of solar powered assets",Positive
180,"Wipro Limited informed about sale of land admeasuring 14 Acres and 02 Cents, located at No. 475-A, Wipro Street, Sholinganallur, Chennai, together with a 20-year-old building approximately 589,778 sq. ft. for a sale consideration of Rs. 266.38 Cr",Neutral
181,"Wipro Appirio, K.K., a step-down subsidiary of Wipro Limited, has been voluntarily liquidated with effect from September 5, 2023. The completion of the aforesaid liquidation reflected in the commercial registry records on September 22, 2023",Neutral
182,"Wipro: The Board has approved the appointment of Ms. Aparna Iyer as the Chief Financial Officer of the Company with effect from September 22, 2023",Positive
183,"Wipro partners with ServiceNow to create Wipro CyberTransform - Intelligent ServiceNow Risk and Security Solutions, a solution that enables organisations to integrate their risk, compliance, and security postures more quickly and effectively",Positive
184,"Wipro has inaugurated a new office in Jefferson City, Missouri, and will partner with the state’s Jobs for America’s Graduates (JAG) program to attract local talent",Positive
185,Wipro Partners with All-Female Sailing Crew Aiming to Break the Record for the Fastest Circumnavigation of the Globe,Positive
186,"Wipro Limited announced the launch of its Cyber Defense Center (CDC) in Dusseldorf, Germany",Positive
187,Wipro Holdings (UK) Limited has transferred 100% shareholding in Wipro 4C NV (step-down subsidiary) to Wipro IT Services UK Societas (wholly-owned subsidiary),Neutral
188,Wipro has been recognized as a Leader in the 2023 Gartner Magic Quadrant for Public Cloud IT Transformation Services,Positive
189,Wipro Limited has signed a definitive agreement to subscribe for the equity share capital in FPEL Ujwal Private Limited,Positive
190,"Wipro has partnered with Amigos do Bem, an institution committed to promoting social inclusion and breaking the cycle of poverty, as part of its initiative to bring Wipro Cares to Brazil",Positive
191,Wipro launches Digital Skills Credentialing and Verification initiative in India to create a transparent Talent Ecosystem in India,Positive
192,Wipro appointed former Deloitte partner Brijesh Singh as senior vice president and global artificial intelligence head for Wipro Enterprise Futuring,Positive
